Average Max,Average Mean,Average Min,Average Variability,Centroid_Latitude,Centroid_Longitude,Number_Destination_Zones_in_Region,Region_Name,Time,Weekday
594.8571428571429,376.14285714285717,243.42857142857142,0.9871657907365281,38.89335969,-77.00886738,7,R1,10:00PM-12:00AM,Wednesdays
903.1428571428571,540.5714285714286,336.42857142857144,0.9060948239375074,38.89335969,-77.00886738,7,R1,07:00AM-09:00AM,Wednesdays
559.0,199.0,71.0,0.4077868852459016,38.89787925,-77.02626283,1,R2,12:00AM-02:00AM,Fridays
865.0,312.0,112.0,0.41434262948207173,38.89787925,-77.02626283,1,R2,04:00PM-06:00PM,Fridays
804.0,305.0,116.0,0.4433139534883721,38.89787925,-77.02626283,1,R2,06:00PM-08:00PM,Fridays
677.0,259.0,99.0,0.44809688581314877,38.89787925,-77.02626283,1,R2,08:00PM-10:00PM,Fridays
658.0,254.0,98.0,0.45357142857142857,38.89787925,-77.02626283,1,R2,10:00PM-12:00AM,Fridays
746.0,240.0,77.0,0.35874439461883406,38.89787925,-77.02626283,1,R2,07:00AM-09:00AM,Fridays
492.0,182.0,67.0,0.42823529411764705,38.89787925,-77.02626283,1,R2,12:00AM-02:00AM,Mondays
694.0,263.0,99.0,0.44201680672268906,38.89787925,-77.02626283,1,R2,04:00PM-06:00PM,Mondays
653.0,241.0,89.0,0.42730496453900707,38.89787925,-77.02626283,1,R2,06:00PM-08:00PM,Mondays
571.0,215.0,81.0,0.4387755102040816,38.89787925,-77.02626283,1,R2,08:00PM-10:00PM,Mondays
519.0,201.0,77.0,0.45475113122171945,38.89787925,-77.02626283,1,R2,10:00PM-12:00AM,Mondays
764.0,242.0,77.0,0.3522561863173217,38.89787925,-77.02626283,1,R2,07:00AM-09:00AM,Mondays
549.0,201.0,73.0,0.4222689075630252,38.89787925,-77.02626283,1,R2,12:00AM-02:00AM,Saturdays
747.0,281.0,105.0,0.43769470404984423,38.89787925,-77.02626283,1,R2,04:00PM-06:00PM,Saturdays
744.0,272.0,100.0,0.422360248447205,38.89787925,-77.02626283,1,R2,06:00PM-08:00PM,Saturdays
668.0,254.0,96.0,0.44405594405594406,38.89787925,-77.02626283,1,R2,08:00PM-10:00PM,Saturdays
704.0,267.0,101.0,0.4427860696517413,38.89787925,-77.02626283,1,R2,10:00PM-12:00AM,Saturdays
571.0,178.0,55.0,0.3449612403100775,38.89787925,-77.02626283,1,R2,07:00AM-09:00AM,Saturdays
575.0,213.0,79.0,0.42943548387096775,38.89787925,-77.02626283,1,R2,12:00AM-02:00AM,Sundays
677.0,255.0,96.0,0.4388984509466437,38.89787925,-77.02626283,1,R2,04:00PM-06:00PM,Sundays
550.0,205.0,76.0,0.43248945147679324,38.89787925,-77.02626283,1,R2,06:00PM-08:00PM,Sundays
536.0,197.0,72.0,0.4245689655172414,38.89787925,-77.02626283,1,R2,08:00PM-10:00PM,Sundays
514.0,188.0,69.0,0.42247191011235957,38.89787925,-77.02626283,1,R2,10:00PM-12:00AM,Sundays
511.0,166.0,54.0,0.36323851203501095,38.89787925,-77.02626283,1,R2,07:00AM-09:00AM,Sundays
497.0,201.0,81.0,0.4831730769230769,38.89787925,-77.02626283,1,R2,12:00AM-02:00AM,Thursdays
923.0,331.0,118.0,0.4111801242236025,38.89787925,-77.02626283,1,R2,04:00PM-06:00PM,Thursdays
