Average Max,Average Mean,Average Min,Average Variability,Weekday,Region,Timeslot,Avg_Traffic
677.0,259.0,99.0,0.4480968858131488,5,1,4,93.66666667
658.0,254.0,98.0,0.4535714285714286,5,1,5,88.0
746.0,240.0,77.0,0.3587443946188341,5,1,1,33.84615384
492.0,182.0,67.0,0.4282352941176471,1,1,0,8.828282829
694.0,263.0,99.0,0.44201680672268906,1,1,2,163.53846154000001
653.0,241.0,89.0,0.4273049645390071,1,1,3,98.61538462
571.0,215.0,81.0,0.4387755102040816,1,1,4,71.23076922999999
519.0,201.0,77.0,0.4547511312217194,1,1,5,34.92307693
764.0,242.0,77.0,0.3522561863173217,1,1,1,28.897435897
549.0,201.0,73.0,0.4222689075630252,6,1,0,48.16666667
747.0,281.0,105.0,0.4376947040498442,6,1,2,261.5
744.0,272.0,100.0,0.42236024844720504,6,1,3,128.0
668.0,254.0,96.0,0.4440559440559441,6,1,4,92.33333334
704.0,267.0,101.0,0.4427860696517413,6,1,5,122.38461538
571.0,178.0,55.0,0.3449612403100775,6,1,1,16.233333332999997
575.0,213.0,79.0,0.42943548387096775,7,1,0,73.33333333
677.0,255.0,96.0,0.4388984509466437,7,1,2,155.53846154000001
550.0,205.0,76.0,0.4324894514767933,7,1,3,55.53846154
536.0,197.0,72.0,0.4245689655172414,7,1,4,35.5
514.0,188.0,69.0,0.4224719101123596,7,1,5,23.230769227
511.0,166.0,54.0,0.36323851203501095,7,1,1,13.133333333
497.0,201.0,81.0,0.4831730769230769,4,1,0,14.0
923.0,331.0,118.0,0.4111801242236025,4,1,2,193.84615385
778.0,298.0,114.0,0.4487951807228915,4,1,3,148.92307692999998
608.0,234.0,90.0,0.4517374517374517,4,1,4,115.38461539
592.0,228.0,88.0,0.4523809523809524,4,1,5,67.69230769
835.0,258.0,79.0,0.3412698412698413,4,1,1,52.0
455.0,180.0,71.0,0.46875,2,1,0,8.923076923
775.0,296.0,113.0,0.4471299093655589,2,1,2,175.84615384
687.0,258.0,97.0,0.4372881355932203,2,1,3,119.69230769
567.0,218.0,84.0,0.4513457556935818,2,1,4,84.15384614999999
552.0,217.0,85.0,0.4646680942184154,2,1,5,44.46153846
784.0,252.0,81.0,0.3584637268847795,2,1,1,41.84615384
515.0,192.0,71.0,0.4324324324324325,3,1,0,12.166666667000001
855.0,321.0,121.0,0.4373297002724796,3,1,2,198.92307695
868.0,320.0,118.0,0.4266666666666667,3,1,3,146.0
